SOUID,    DATE,   RR, Q_RR
100814,20040721,    0,    0
100814,20040722,    0,    0
100814,20040723,    0,    0
100814,20040724,    0,    0
100814,20040725,    0,    0
100814,20040726,   32,    0
100814,20040727,  195,    0
100814,20040728,   12,    0
100814,20040729,    6,    0
100814,20040730,    2,    0
100814,20040731,   31,    0
100814,20040801,    0,    0
100814,20040802,    0,    0
100814,20040803,    0,    0
100814,20040804,    0,    0
100814,20040805,    0,    0
100814,20040806,    0,    0
100814,20040807,    0,    0
100814,20040808,    4,    0
100814,20040809,   63,    0
100814,20040810,   30,    0
100814,20040811,    0,    0
100814,20040812,    0,    0
100814,20040813,    0,    0
100814,20040814,    0,    0
100814,20040815,    0,    0
100814,20040816,    0,    0
100814,20040817,    0,    0
100814,20040818,    0,    0
100814,20040819,    0,    0
100814,20040820,    0,    0
100814,20040821,    0,    0
100814,20040822,    2,    0
100814,20040823,    0,    0
100814,20040824,    0,    0
100814,20040825,    7,    0
100814,20040826,   35,    0
100814,20040827,   76,    0
100814,20040828,    0,    0
100814,20040829,    0,    0
100814,20040830,    0,    0
100814,20040831,    0,    0
100814,20040901,    0,    0
100814,20040902,    0,    0
100814,20040903,    0,    0
100814,20040904,    0,    0
100814,20040905,    0,    0
100814,20040906,    0,    0
100814,20040907,    0,    0
100814,20040908,    9,    0
100814,20040909,    0,    0
100814,20040910,    0,    0
100814,20040911,    0,    0
100814,20040912,    0,    0
100814,20040913,    0,    0
100814,20040914,    0,    0
100814,20040915,    0,    0
100814,20040916,   30,    0
100814,20040917,   46,    0
100814,20040918,  147,    0
100814,20040919,   16,    0
100814,20040920,    0,    0
100814,20040921,    0,    0
100814,20040922,    0,    0
100814,20040923,    0,    0
100814,20040924,    0,    0
100814,20040925,   48,    0
100814,20040926,  255,    0
100814,20040927,    0,    0
100814,20040928,   32,    0
100814,20040929,   51,    0
100814,20040930,    0,    0
100814,20041001,    0,    0
100814,20041002,    7,    0
100814,20041003,    0,    0
100814,20041004,    0,    0
100814,20041005,    0,    0
100814,20041006,    0,    0
100814,20041007,    0,    0
100814,20041008,    0,    0
100814,20041009,   37,    0
100814,20041010,  192,    0
100814,20041011,   20,    0
100814,20041012,   79,    0
100814,20041013,    0,    0
100814,20041014,   58,    0
100814,20041015,    0,    0
100814,20041016,    5,    0
100814,20041017,   99,    0
100814,20041018,    0,    0
100814,20041019,   61,    0
100814,20041020,    4,    0
100814,20041021,    7,    0
100814,20041022,    2,    0
100814,20041023,    0,    0
100814,20041024,    0,    0
100814,20041025,    0,    0
100814,20041026,    0,    0
100814,20041027,    0,    0
100814,20041028,    0,    0
100814,20041029,    0,    0
100814,20041030,    0,    0
100814,20041031,    0,    0
100814,20041101,    0,    0
100814,20041102,    0,    0
100814,20041103,    0,    0
100814,20041104,    0,    0
100814,20041105,    0,    0
100814,20041106,    0,    0
100814,20041107,  196,    0
100814,20041108,  201,    0
100814,20041109,    0,    0
100814,20041110,    3,    0
100814,20041111,    8,    0
100814,20041112,    0,    0
100814,20041113,  201,    0
100814,20041114,  374,    0
100814,20041115,   10,    0
100814,20041116,   12,    0
100814,20041117,    4,    0
100814,20041118,    0,    0
100814,20041119,  162,    0
100814,20041120,    0,    0
100814,20041121,    5,    0
100814,20041122,    0,    0
100814,20041123,   34,    0
100814,20041124,   40,    0
100814,20041125,    1,    0
100814,20041126,    0,    0
100814,20041127,   13,    0
100814,20041128,    0,    0
100814,20041129,    1,    0
100814,20041130,    3,    0
100814,20041201,   42,    0
100814,20041202,   19,    0
100814,20041203,    8,    0
100814,20041204,    2,    0
100814,20041205,    0,    0
100814,20041206,   20,    0
100814,20041207,    0,    0
100814,20041208,    0,    0
100814,20041209,    0,    0
100814,20041210,    0,    0
100814,20041211,    0,    0
100814,20041212,    0,    0
100814,20041213,    0,    0
100814,20041214,    0,    0
100814,20041215,    0,    0
100814,20041216,    0,    0
100814,20041217,    0,    0
100814,20041218,  180,    0
100814,20041219,    2,    0
100814,20041220,   15,    0
100814,20041221,   18,    0
100814,20041222,    0,    0
100814,20041223,    0,    0
100814,20041224,    0,    0
100814,20041225,    0,    0
100814,20041226,    0,    0
100814,20041227,    9,    0
100814,20041228,   40,    0
100814,20041229,   73,    0
100814,20041230,   25,    0
100814,20041231,    0,    0
100814,20050101,   20,    0
100814,20050102,   13,    0
100814,20050103,    6,    0
100814,20050104,   10,    0
100814,20050105,    0,    0
100814,20050106,    2,    0
100814,20050107,    0,    0
100814,20050108,    0,    0
100814,20050109,    0,    0
100814,20050110,    0,    0
100814,20050111,    0,    0
100814,20050112,    0,    0
100814,20050113,    2,    0
100814,20050114,    3,    0
100814,20050115,    0,    0
100814,20050116,    0,    0
100814,20050117,    0,    0
100814,20050118,    0,    0
100814,20050119,    0,    0
100814,20050120,    0,    0
100814,20050121,   49,    0
100814,20050122,    6,    0
100814,20050123,    0,    0
100814,20050124,   64,    0
100814,20050125,   78,    0
100814,20050126,  119,    0
100814,20050127,    0,    0
100814,20050128,   76,    0
100814,20050129,   33,    0
100814,20050130,   11,    0
100814,20050131,   23,    0
100814,20050201,   27,    0
100814,20050202,    0,    0
100814,20050203,    2,    0
100814,20050204,    0,    0
100814,20050205,    0,    0
100814,20050206,    0,    0
100814,20050207,    0,    0
100814,20050208,    0,    0
100814,20050209,    0,    0
100814,20050210,    0,    0
100814,20050211,    0,    0
100814,20050212,    3,    0
100814,20050213,  107,    0
100814,20050214,  119,    0
100814,20050215,   79,    0
100814,20050216,   35,    0
100814,20050217,    9,    0
100814,20050218,   14,    0
100814,20050219,    0,    0
100814,20050220,    0,    0
100814,20050221,    0,    0
100814,20050222,    0,    0
100814,20050223,    0,    0
100814,20050224,    0,    0
100814,20050225,    4,    0
100814,20050226,  118,    0
100814,20050227,   68,    0
100814,20050228,    2,    0
100814,20050301,    0,    0
100814,20050302,   10,    0
100814,20050303,    0,    0
100814,20050304,    0,    0
100814,20050305,  119,    0
100814,20050306,   32,    0
100814,20050307,   33,    0
100814,20050308,   14,    0
100814,20050309,   61,    0
100814,20050310,    1,    0
100814,20050311,    0,    0
100814,20050312,    0,    0
100814,20050313,   28,    0
100814,20050314,    0,    0
100814,20050315,    0,    0
100814,20050316,    0,    0
100814,20050317,    0,    0
100814,20050318,    0,    0
100814,20050319,   14,    0
100814,20050320,    0,    0
100814,20050321,    0,    0
100814,20050322,    0,    0
100814,20050323,    0,    0
100814,20050324,    2,    0
100814,20050325,    0,    0
100814,20050326,   54,    0
100814,20050327,  105,    0
100814,20050328,  220,    0
100814,20050329,    0,    0
100814,20050330,    0,    0
100814,20050331,    0,    0
100814,20050401,    0,    0
100814,20050402,    0,    0
100814,20050403,    0,    0
100814,20050404,    0,    0
100814,20050405,    0,    0
100814,20050406,    0,    0
100814,20050407,    0,    0
100814,20050408,    0,    0
100814,20050409,    0,    0
100814,20050410,    0,    0
100814,20050411,    0,    0
100814,20050412,   62,    0
100814,20050413,   70,    0
100814,20050414,  214,    0
100814,20050415,   28,    0
100814,20050416,    0,    0
100814,20050417,  331,    0
100814,20050418,   43,    0
100814,20050419,    0,    0
100814,20050420,   16,    0
100814,20050421,   97,    0
100814,20050422,    0,    0
100814,20050423,    0,    0
100814,20050424,    7,    0
100814,20050425,    3,    0
100814,20050426,   19,    0
100814,20050427,    0,    0
100814,20050428,    0,    0
100814,20050429,    0,    0
100814,20050430,    0,    0
100814,20050501,    0,    0
100814,20050502,    0,    0
100814,20050503,    0,    0
100814,20050504,   46,    0
100814,20050505,   54,    0
100814,20050506,  398,    0
100814,20050507,   43,    0
100814,20050508,    6,    0
100814,20050509,    3,    0
100814,20050510,   51,    0
100814,20050511,   52,    0
100814,20050512,    6,    0
100814,20050513,    0,    0
100814,20050514,    3,    0
100814,20050515,  131,    0
100814,20050516,    0,    0
100814,20050517,    0,    0
100814,20050518,   42,    0
100814,20050519,   26,    0
100814,20050520,   58,    0
100814,20050521,    0,    0
100814,20050522,    0,    0
100814,20050523,    0,    0
100814,20050524,   26,    0
100814,20050525,    6,    0
100814,20050526,    0,    0
100814,20050527,    2,    0
100814,20050528,   13,    0
100814,20050529,   70,    0
100814,20050530,    0,    0
100814,20050531,    0,    0
100814,20050601,    0,    0
100814,20050602,    0,    0
100814,20050603,    0,    0
100814,20050604,    0,    0
100814,20050605,  144,    0
100814,20050606,  239,    0
100814,20050607,    2,    0
100814,20050608,   49,    0
100814,20050609,    2,    0
100814,20050610,   42,    0
100814,20050611,    2,    0
100814,20050612,    0,    0
100814,20050613,    0,    0
